"","datasetID","sci_name","presence","origin","seasonal"
"1",6,"Passer domesticus",1,3,1
"2",6,"Sturnus vulgaris",1,3,1
"3",6,"Phasianus colchicus",1,3,1
"4",6,"Cygnus olor",1,3,1
"5",6,"Aratinga nenday",1,3,1
"6",6,"Myiopsitta monachus",1,3,1
"7",6,"Perdix perdix",1,3,1
"8",5,"Columba livia",1,3,1
"9",5,"Phasianus colchicus",1,3,1
"10",5,"Myiopsitta monachus",1,3,1
"11",5,"Syrmaticus reevesii",1,3,1
"12",13,"Alexandrinus krameri",1,3,1
"13",13,"Streptopelia decaocto",1,3,1
"14",13,"Zosterops japonicus",1,3,1
"15",13,"Pica pica",1,3,1
"16",13,"Acridotheres cristatellus",1,3,1
"17",13,"Amandava amandava",1,3,1
"18",13,"Bambusicola thoracicus",1,3,1
"19",13,"Leiothrix lutea",1,3,1
"20",13,"Cygnus atratus",1,3,1
"21",13,"Melopsittacus undulatus",1,3,1
"22",13,"Paroaria coronata",1,3,1
"23",26,"Anser caerulescens",1,3,1
"24",26,"Alexandrinus krameri",1,3,1
"25",26,"Alectoris chukar",1,3,1
"26",26,"Athene noctua",1,3,1
"27",26,"Columba livia",1,3,1
"28",26,"Passer hispaniolensis",1,3,1
"29",26,"Coturnix japonica",1,3,1
"30",26,"Cygnus olor",1,3,1
"31",26,"Phasianus colchicus",1,3,1
"32",26,"Acridotheres cristatellus",1,3,1
"33",26,"Amandava amandava",1,3,1
"34",26,"Alectoris barbara",1,3,1
"35",26,"Acridotheres tristis",1,3,1
"36",26,"Estrilda astrild",1,3,1
"37",26,"Aix galericulata",1,3,1
"38",26,"Aix galericulata",1,3,1
"39",26,"Alectoris graeca",1,3,1
"40",26,"Alectoris rufa",1,3,1
"41",26,"Alopochen aegyptiaca",1,3,1
"42",26,"Anser indicus",1,3,1
"43",26,"Aratinga nenday",1,3,1
"44",26,"Branta canadensis",1,3,1
"45",26,"Branta canadensis",1,3,2
"46",26,"Branta leucopsis",1,3,1
"47",26,"Chloris chloris",1,3,1
"48",26,"Cygnus atratus",1,3,1
"49",26,"Euplectes orix",1,3,1
"50",26,"Meleagris gallopavo",1,3,1
"51",26,"Myiopsitta monachus",1,3,1
"52",26,"Oxyura jamaicensis",1,3,1
"53",26,"Syrmaticus reevesii",1,3,1
"54",26,"Threskiornis aethiopicus",1,3,1
"55",26,"Threskiornis aethiopicus",1,3,1
